price,carat,total_depth_%,table,length,width,depth,cut,color,clarity,color_mod,clarity_mod
4557,1.05,62.6,59,6.47,6.43,4.04,Premium,F,SI2,3,7
4557,1.03,60.6,60,6.53,6.5,3.95,Premium,G,SI2,4,7
4558,1.1,62.6,57,6.6,6.56,4.12,Premium,H,SI2,5,7
4558,1.19,61.6,56,6.87,6.83,4.22,Premium,I,SI2,6,7
4558,1.02,61.8,57,6.48,6.41,3.98,Ideal,H,SI1,5,6
4558,1.02,63.9,55,6.4,6.37,4.08,Good,H,SI1,5,6
4558,1.02,60.3,59,6.5,6.44,3.9,Premium,H,SI1,5,6
4558,1.02,61.9,61,6.42,6.34,3.95,Premium,H,SI1,5,6
4558,1.05,62.5,57,6.52,6.45,4.05,Premium,H,SI1,5,6
4558,1.1,60.9,57,6.67,6.62,4.05,Premium,H,SI2,5,7
4558,1.02,64.3,54,6.32,6.27,4.05,Good,D,SI1,1,6
4558,1.19,63.4,58,6.79,6.76,4.29,Very Good,H,SI2,5,7
4558,1.14,63,57,6.7,6.64,4.2,Ideal,G,SI2,4,7
4559,1.01,63.3,58,6.37,6.4,4.04,Good,H,SI1,5,6
4559,1.01,63,60,6.33,6.36,4,Very Good,H,SI1,5,6
4559,1.01,59.8,60,6.48,6.52,3.89,Premium,H,SI1,5,6
4559,1.01,62.8,58,6.36,6.38,4,Very Good,H,SI1,5,6
4559,1.01,63.4,58,6.34,6.38,4.03,Good,H,SI1,5,6
4559,1.01,61.2,58,6.43,6.47,3.95,Premium,H,SI1,5,6
4559,1.01,60.3,64,6.5,6.53,3.93,Good,H,SI1,5,6
4559,1.01,62.4,53,6.42,6.47,4.02,Ideal,H,SI1,5,6
4559,1.21,60.4,56,6.84,6.93,4.16,Good,J,SI2,7,7
4559,1.01,61.9,62,6.45,6.37,3.97,Premium,H,VS2,5,5
4559,1.01,63,57,6.39,6.34,4.01,Ideal,F,SI1,3,6
4559,1.01,63.3,57,6.32,6.27,3.99,Very Good,H,VS2,5,5
4559,1.01,62.9,60,6.33,6.22,3.95,Premium,H,VS2,5,5
4560,1.35,62.5,57,7.01,7.04,4.39,Ideal,G,I1,4,8
4560,1.07,61.8,59,6.53,6.57,4.05,Premium,F,SI2,3,7
4560,0.96,60.6,62,6.35,6.39,3.86,Very Good,F,SI1,3,6
4560,0.9,63.2,58,6.12,6.1,3.86,Very Good,E,SI1,2,6
4560,1.01,61.6,54,6.4,6.45,3.96,Ideal,G,SI2,4,7
4560,1.05,60,63,6.59,6.64,3.97,Good,D,SI2,1,7
4560,1.03,61.8,60,6.45,6.42,3.98,Premium,D,SI2,1,7
4560,1.16,62.6,56,6.73,6.68,4.2,Ideal,I,SI2,6,7
4561,0.97,62.7,59,6.28,6.31,3.95,Premium,F,SI1,3,6
4561,0.9,62,57,6.19,6.22,3.85,Ideal,G,VS2,4,5
4561,1.1,59.8,60,6.7,6.77,4.03,Very Good,H,SI2,5,7
4561,0.91,60.8,60,6.24,6.21,3.79,Very Good,D,SI1,1,6
4561,1.05,62.3,56,6.52,6.58,4.08,Ideal,G,SI2,4,7
4561,0.92,62.2,56,6.23,6.27,3.89,Ideal,D,SI1,1,6
4561,1.01,63.2,59,6.38,6.34,4.02,Very Good,E,SI2,2,7
4561,1.01,65.9,60,6.25,6.17,4.09,Fair,F,SI1,3,6
4562,0.92,62.2,58,6.18,6.23,3.86,Premium,E,SI1,2,6
4562,0.92,59.8,59,6.33,6.37,3.8,Premium,E,SI1,2,6
4562,0.92,62.1,58,6.15,6.22,3.84,Very Good,E,SI1,2,6
4562,0.9,63,57,6.15,6.07,3.85,Premium,E,VS2,2,5
4562,0.9,60.6,53,6.3,6.27,3.81,Premium,E,VS2,2,5
4562,1.22,61.6,59,6.86,6.81,4.21,Premium,I,VS2,6,5
4563,1.01,61.1,57,6.44,6.5,3.95,Very Good,E,SI1,2,6
4563,1.06,60.9,56,6.58,6.63,4.02,Ideal,H,SI2,5,7
4563,1.01,64.5,56,6.24,6.29,4.04,Good,E,SI1,2,6
4564,1.07,61.6,55,6.62,6.59,4.07,Ideal,E,SI2,2,7
4564,1.04,62.8,57,6.44,6.48,4.06,Very Good,H,SI1,5,6
4564,1.01,59.7,58,6.55,6.61,3.93,Very Good,D,SI2,1,7
4564,1.01,61.4,60,6.33,6.38,3.9,Very Good,D,SI2,1,7
4564,1.08,61.2,57.4,6.57,6.63,4.04,Ideal,H,SI2,5,7
4564,1,61.4,57,6.37,6.34,3.9,Ideal,H,SI1,5,6
4565,0.9,63,58,6.07,6.15,3.85,Very Good,G,VVS2,4,3
4565,1.09,61.4,55,6.61,6.67,4.08,Ideal,J,SI1,7,6
4566,1.04,67.5,56,6.28,6.22,4.22,Fair,E,SI2,2,7
4566,1.01,60.9,58,6.45,6.49,3.94,Very Good,E,SI2,2,7
4566,1.04,60.4,58,6.56,6.62,3.98,Ideal,G,SI2,4,7
4566,1.01,60.2,60,6.37,6.42,3.85,Good,E,SI2,2,7
4566,0.91,57.8,61,6.4,6.36,3.69,Good,H,VS1,5,4
4566,1.04,59.2,58,6.7,6.64,3.95,Premium,E,SI2,2,7
4568,0.92,62.2,55,6.21,6.27,3.88,Ideal,H,VS2,5,5
4568,1.06,60.7,57,6.57,6.61,4,Ideal,F,SI2,3,7
4568,1,61.5,64,6.38,6.41,3.93,Good,H,SI1,5,6
4569,1,62.7,54,6.26,6.31,3.94,Good,H,VS2,5,5
4570,1.12,60.5,59,6.73,6.79,4.09,Premium,F,SI2,3,7
4570,0.79,62.8,60,5.8,5.89,3.67,Very Good,E,VVS1,2,2
4570,1.06,61.7,62,6.5,6.54,4.02,Very Good,E,SI2,2,7
4570,1.45,58.6,68,7.45,7.33,4.34,Fair,J,SI2,7,7
4570,0.91,62.5,61,6.17,6.05,3.82,Premium,G,VS1,4,4
4570,1.02,62.5,57,6.47,6.43,4.03,Premium,F,SI2,3,7
4571,1.06,61.5,58,6.6,6.54,4.04,Premium,G,SI2,4,7
4571,1.06,61.9,60,6.53,6.52,4.04,Premium,G,SI2,4,7
4572,1.12,62,56,6.69,6.59,4.13,Premium,H,SI1,5,6
4572,1.15,62.6,55,6.74,6.65,4.19,Ideal,H,SI2,5,7
4573,1,63.9,57,6.31,6.34,4.04,Good,E,SI1,2,6
4573,1.32,63.5,57,6.95,6.98,4.42,Good,J,SI1,7,6
4573,1.03,63.5,53,6.43,6.46,4.09,Very Good,H,SI1,5,6
4573,1.07,62.4,57,6.58,6.53,4.09,Premium,F,SI2,3,7
4574,1,62.4,58,6.37,6.42,3.99,Very Good,H,SI1,5,6
4574,1.01,62.9,55,6.35,6.41,4.01,Good,H,SI1,5,6
4574,1.21,59.7,60,6.93,6.9,4.13,Premium,J,SI1,7,6
4575,0.94,62.3,57,6.24,6.29,3.9,Ideal,D,SI1,1,6
4575,1.01,62.2,58,6.36,6.43,3.98,Very Good,E,SI2,2,7
4576,1,60.6,60,6.33,6.4,3.86,Very Good,E,SI2,2,7
4576,1.12,63.1,56,6.62,6.59,4.17,Very Good,H,SI1,5,6
4578,1.02,61.4,56,6.47,6.5,3.98,Ideal,F,SI2,3,7
4578,1.06,61,57,6.56,6.61,4.02,Ideal,G,SI2,4,7
4578,1.11,62.7,57,6.59,6.66,4.14,Ideal,H,SI2,5,7
4578,1.11,62,54,6.61,6.64,4.11,Ideal,H,SI2,5,7
4578,1.11,61.3,55,6.65,6.73,4.1,Ideal,H,SI2,5,7
4578,1.11,61.6,60,6.6,6.67,4.09,Premium,H,SI2,5,7
4578,1.09,61.7,60,6.59,6.57,4.06,Premium,H,SI2,5,7
4578,1.09,62.1,55,6.63,6.58,4.1,Premium,H,SI2,5,7
4578,1.01,60.5,58,6.47,6.39,3.89,Premium,H,SI1,5,6
4579,0.9,62.5,59,6.11,6.15,3.83,Very Good,D,SI1,1,6
4579,0.9,62.5,57,6.12,6.2,3.85,Ideal,D,SI1,1,6
4579,1.18,60.8,58,6.84,6.78,4.14,Premium,I,SI2,6,7
4579,1.03,60.9,60,6.52,6.45,3.95,Premium,F,SI1,3,6
4579,0.9,62.7,58,6.15,6.06,3.83,Premium,G,VS1,4,4
4579,1,62.7,58,6.41,6.34,4,Premium,E,SI2,2,7
4579,1,63.3,58,6.35,6.32,4.01,Very Good,E,SI2,2,7
4580,1.27,62.2,58,6.88,6.84,4.27,Premium,J,VS2,7,5
4580,0.9,59.1,62,6.24,6.28,3.7,Very Good,E,VS2,2,5
4580,0.9,63.5,57,6.06,6.09,3.86,Good,F,VS1,3,4
4580,0.9,62.2,59,6.13,6.18,3.83,Very Good,E,VS2,2,5
4580,0.9,63.1,58,6.11,6.15,3.87,Good,E,VS2,2,5
4580,0.9,62.9,57,6.16,6.18,3.88,Very Good,E,VS2,2,5
4580,1.2,61.8,60,6.76,6.83,4.2,Very Good,J,SI2,7,7
4580,1.03,63.7,56,6.32,6.39,4.05,Very Good,D,SI2,1,7
4580,1,62,55,6.39,6.43,3.98,Ideal,H,SI2,5,7
4580,0.94,62,58,6.27,6.24,3.88,Premium,E,SI1,2,6
4580,0.94,60,58,6.44,6.37,3.84,Premium,E,SI1,2,6
4580,0.94,62.4,56,6.27,6.24,3.9,Premium,E,SI1,2,6
4581,1.11,62.5,58,6.61,6.63,4.14,Premium,E,SI2,2,7
4581,1.01,63.3,58,6.37,6.3,4.01,Very Good,E,SI2,2,7
4581,1,63.9,56,6.37,6.18,4.01,Good,I,VS1,6,4
4582,1.03,61.8,55,6.46,6.51,4.01,Ideal,G,SI2,4,7
4582,1.03,60.1,62.4,6.43,6.49,3.88,Good,J,VS1,7,4
4583,1.24,62.2,58,6.82,6.94,4.28,Very Good,J,SI2,7,7
4583,1.02,59.3,60,6.56,6.52,3.88,Premium,D,SI2,1,7
4583,1.02,58.6,63,6.56,6.54,3.84,Very Good,D,SI2,1,7
4584,1.09,62.5,57,6.56,6.58,4.11,Very Good,I,SI2,6,7
4584,1.11,59,59,6.79,6.82,4.02,Very Good,H,SI2,5,7
4584,0.9,59.9,57,6.27,6.31,3.77,Ideal,H,VS2,5,5
4584,1.13,62.5,57,6.67,6.71,4.18,Ideal,H,SI2,5,7
4584,1.01,62.4,56,6.36,6.4,3.98,Ideal,I,SI1,6,6
4584,1.07,62.1,59,6.54,6.48,4.04,Premium,G,SI2,4,7
4585,1.03,59.7,55,6.6,6.64,3.95,Ideal,H,SI1,5,6
4585,1.02,62.7,57,6.35,6.44,4.01,Ideal,E,SI2,2,7
4586,1.09,61.2,57,6.63,6.68,4.07,Ideal,G,SI2,4,7
4586,1.09,62.1,56,6.59,6.66,4.12,Ideal,G,SI2,4,7
4586,1.16,62.9,58,6.64,6.69,4.19,Very Good,I,SI1,6,6
4586,1,63.6,62,6.3,6.24,3.99,Good,F,SI1,3,6
589,0.32,61.3,55,4.39,4.42,2.7,Ideal,D,SI1,1,6
589,0.32,62.8,56,4.37,4.42,2.76,Very Good,D,SI1,1,6
589,0.32,61.5,59,4.39,4.42,2.71,Premium,D,SI1,1,6
589,0.32,61.3,57,4.37,4.41,2.69,Ideal,D,SI1,1,6
589,0.32,61.4,57,4.41,4.42,2.71,Ideal,D,SI1,1,6
589,0.32,63.1,57,4.37,4.38,2.76,Good,D,SI1,1,6
589,0.32,63.1,56,4.34,4.38,2.75,Good,D,SI1,1,6
589,0.32,63.7,55,4.35,4.38,2.78,Good,D,SI1,1,6
589,0.32,62.7,54,4.37,4.4,2.75,Ideal,D,SI1,1,6
589,0.32,58.3,58,4.49,4.54,2.63,Very Good,D,SI1,1,6
589,0.32,62.8,56,4.34,4.35,2.73,Very Good,D,SI1,1,6
589,0.32,61.3,60,4.41,4.43,2.71,Premium,D,SI1,1,6
589,0.32,60.8,58,4.41,4.44,2.69,Premium,D,SI1,1,6
589,0.32,61.9,57,4.36,4.4,2.71,Ideal,D,SI1,1,6
589,0.32,62.5,55,4.37,4.4,2.74,Ideal,I,VVS1,6,2
589,0.32,60.2,58,4.4,4.43,2.66,Premium,D,SI1,1,6
589,0.32,60.4,58,4.44,4.47,2.69,Premium,D,SI1,1,6
589,0.32,63,58,4.32,4.38,2.74,Very Good,I,VVS1,6,2
589,0.32,62,57,4.38,4.42,2.73,Ideal,D,SI1,1,6
589,0.32,61.7,55,4.39,4.4,2.71,Ideal,I,VVS1,6,2
589,0.36,62.5,58,4.51,4.55,2.83,Premium,G,VS2,4,5
589,0.32,63.5,55,4.31,4.35,2.75,Good,D,SI1,1,6
589,0.32,62,55,4.37,4.47,2.74,Ideal,D,SI1,1,6
589,0.32,58.9,60,4.47,4.49,2.64,Very Good,D,SI1,1,6
589,0.32,61.5,56,4.39,4.42,2.71,Ideal,D,SI1,1,6
589,0.32,63.6,56,4.34,4.37,2.77,Good,D,SI1,1,6
589,0.32,63.3,57,4.37,4.38,2.77,Good,D,SI1,1,6
589,0.32,63.8,56,4.33,4.35,2.77,Good,D,SI1,1,6
589,0.32,62.5,54,4.39,4.41,2.75,Ideal,D,SI1,1,6
589,0.32,63.2,54,4.36,4.38,2.76,Good,D,SI1,1,6
4586,1,61.4,60,6.38,6.35,3.91,Premium,F,SI1,3,6
4586,0.9,63,62,6.13,6.06,3.84,Premium,D,VS2,1,5
4586,1.17,60,64,6.91,6.83,4.12,Good,I,SI1,6,6
4586,1,64.1,60,6.25,6.19,3.99,Good,F,SI1,3,6
4586,1,64.8,58,6.26,6.21,4.04,Fair,F,SI1,3,6
4586,1.03,60.5,58,6.55,6.49,3.94,Ideal,F,SI2,3,7
4586,1.26,62,56,6.92,6.88,4.28,Premium,H,SI2,5,7
4586,1,58.1,63,6.45,6.36,3.72,Very Good,F,SI1,3,6
4586,1.03,60.7,60,6.52,6.47,3.94,Premium,F,SI2,3,7
4586,1.03,61.4,57,6.6,6.53,4.03,Premium,F,SI2,3,7
4586,1.05,61.9,56,6.56,6.49,4.04,Ideal,H,SI2,5,7
4586,1.03,62.4,59,6.45,6.38,4,Premium,F,SI2,3,7
4586,1,63.8,58,6.28,6.22,3.99,Good,F,SI1,3,6
4586,1,62.2,58,6.39,6.35,3.96,Premium,F,SI1,3,6
4586,0.91,63.1,59,6.14,6.1,3.86,Very Good,D,SI1,1,6
4586,1.03,61.6,58,6.46,6.43,3.97,Premium,F,SI2,3,7
4586,1,62.9,57,6.37,6.32,3.99,Premium,F,SI1,3,6
4587,0.92,62.3,55,6.24,6.28,3.9,Ideal,I,VS1,6,4
4587,0.92,61.6,56,6.21,6.25,3.84,Ideal,H,SI1,5,6
4588,0.9,62.3,59,6.13,6.17,3.83,Very Good,H,VS2,5,5
4588,1.01,59.5,59,6.54,6.6,3.91,Very Good,J,VS1,7,4
4588,1.01,62.2,60,6.4,6.43,3.99,Very Good,D,SI2,1,7
4588,1.01,62.9,61,6.36,6.4,4.01,Very Good,G,SI1,4,6
4588,1.01,63.9,57,6.29,6.36,4.04,Good,D,SI2,1,7
4588,1.01,63.6,57,6.33,6.37,4.04,Good,G,SI1,4,6
4588,1.01,58.3,59,6.63,6.67,3.88,Very Good,D,SI2,1,7
4588,1.01,62.9,54,6.41,6.47,4.05,Very Good,G,SI1,4,6
4588,1.01,62.5,60,6.34,6.39,3.98,Premium,G,SI1,4,6
4588,1.01,63.5,60,6.3,6.33,4.01,Good,G,SI1,4,6
4588,1.01,59.6,61,6.47,6.52,3.87,Very Good,G,SI1,4,6
4588,1.01,63.4,58,6.28,6.33,4,Good,G,SI1,4,6
4588,1.01,60.3,57,6.51,6.56,3.94,Very Good,D,SI2,1,7
4588,1.01,63.9,57,6.3,6.37,4.05,Good,G,SI1,4,6
4588,1.01,61.8,57,6.41,6.46,3.98,Ideal,G,SI1,4,6
4588,1.01,61.8,60,6.37,6.41,3.95,Very Good,D,SI2,1,7
4588,1.01,62.8,59,6.34,6.44,4.01,Very Good,D,SI2,1,7
4588,1.28,62.4,56,6.97,6.89,4.34,Premium,H,SI2,5,7
4590,0.91,60.9,54,6.27,6.38,3.85,Very Good,G,VS1,4,4
4590,1.2,62.5,57,6.72,6.79,4.22,Very Good,J,VS2,7,5
4591,1.05,60.9,56,6.56,6.64,4.02,Ideal,F,SI2,3,7
4591,1.02,61.1,56,6.45,6.51,3.96,Ideal,E,SI1,2,6
4591,1.09,62.1,57,6.58,6.63,4.1,Very Good,G,SI2,4,7
4591,1.06,62.7,58,6.48,6.5,4.07,Ideal,I,SI2,6,7
4591,1.14,61.7,56,6.71,6.67,4.13,Ideal,F,SI2,3,7
4591,1.19,59.3,59,6.98,6.88,4.11,Premium,I,VS2,6,5
4592,1,57.9,62,6.53,6.49,3.77,Good,H,SI2,5,7
4592,1,59.6,58,6.55,6.5,3.89,Premium,I,SI1,6,6
4592,1,59.5,64,6.44,6.41,3.82,Good,H,VVS2,5,3
4592,0.9,63.7,57,6.09,6.02,3.86,Very Good,H,VVS2,5,3
4592,0.9,62.3,59,6.12,6.17,3.83,Very Good,H,VS1,5,4
4592,1.01,62.5,58,6.39,6.44,4.01,Premium,I,VS2,6,5
4592,0.9,61.6,56,6.17,6.13,3.79,Ideal,H,VS1,5,4
4592,0.83,62.3,56.4,5.97,6.02,3.73,Ideal,F,VS1,3,4
4592,1,63,56,6.33,6.28,3.97,Ideal,D,SI1,1,6
4593,0.9,61.8,56,6.18,6.21,3.83,Ideal,F,SI2,3,7
4593,0.9,61.9,57,6.13,6.18,3.81,Ideal,F,SI2,3,7
4593,0.9,62.4,55,6.17,6.2,3.86,Ideal,F,SI2,3,7
4594,1.02,63,58,6.36,6.4,4.02,Very Good,F,SI1,3,6
4594,1.02,63.5,57,6.35,6.4,4.05,Good,F,SI1,3,6
4595,1,62.8,58,6.29,6.39,3.98,Very Good,D,SI2,1,7
4596,0.9,62.6,59,6.12,6.15,3.84,Very Good,I,IF,6,1
4596,0.76,59.6,58,5.95,5.96,3.55,Ideal,F,IF,3,1
4596,1,63.8,53,6.39,6.27,4.04,Good,H,SI1,5,6
4596,1.14,60.4,60,6.78,6.73,4.08,Premium,I,SI1,6,6
4596,1.2,63,57,6.77,6.7,4.24,Ideal,I,SI2,6,7
4597,1.07,61.7,58,6.58,6.62,4.07,Premium,F,SI1,3,6
4598,0.9,63.8,55,6.11,6.18,3.92,Very Good,E,VS2,2,5
4598,1.09,62.2,59,6.46,6.49,4.03,Very Good,D,SI2,1,7
4598,1.38,63.7,58,7.06,7.01,4.48,Good,J,SI2,7,7
4598,1.05,62.6,62,6.49,6.45,4.05,Premium,G,SI2,4,7
4600,0.92,61.2,62,6.27,6.22,3.82,Premium,E,VS2,2,5
4600,0.9,62.5,57,6.12,6.14,3.83,Very Good,G,VS2,4,5
4600,1.51,63.3,57,7.31,7.23,4.6,Very Good,J,I1,7,8
4600,1.11,60.9,56,6.71,6.73,4.09,Ideal,H,SI2,5,7
4600,1.01,57.1,59,6.65,6.69,3.81,Fair,E,SI2,2,7
4601,0.9,63.5,61,6.09,6.16,3.89,Good,D,VS2,1,5
4601,0.9,62.3,58,6.14,6.21,3.85,Very Good,G,VVS1,4,2
4601,1.04,60.7,59,6.6,6.57,4,Premium,I,SI1,6,6
4602,1.07,61.6,56.3,6.55,6.59,4.04,Ideal,J,VS2,7,5
4602,1.07,61.7,57.7,6.55,6.58,4.05,Good,J,VS2,7,5
4602,1,61.8,55,6.41,6.44,3.97,Ideal,I,SI1,6,6
4602,1.06,60.8,54,6.64,6.61,4.03,Ideal,H,SI1,5,6
4603,1.2,61.4,63,6.76,6.72,4.14,Very Good,H,SI1,5,6
4603,1.03,61.1,59,6.56,6.5,3.99,Premium,H,SI1,5,6
4603,1.03,62.3,56,6.48,6.45,4.03,Ideal,H,SI1,5,6
4603,1.03,60,60,6.41,6.4,4.02,Premium,H,SI1,5,6
4604,1.02,62.6,59,6.38,6.43,4.01,Very Good,H,SI1,5,6
4604,1.02,61.9,58,6.43,6.47,3.99,Premium,H,SI1,5,6
4604,1.02,63.5,58,6.36,6.39,4.05,Good,H,SI1,5,6
4604,1.05,61.8,58,6.52,6.55,4.04,Ideal,H,SI2,5,7
4604,1.07,61,55,6.62,6.65,4.05,Ideal,H,SI2,5,7
4604,1.01,59.6,60,6.52,6.6,3.91,Ideal,E,SI2,2,7
4604,1.02,62.3,54,6.48,6.39,4.01,Ideal,H,VS2,5,5
4604,1.02,60,63,6.54,6.49,3.91,Very Good,H,VS2,5,5
4604,1.02,63.3,55,6.4,6.33,4.03,Very Good,H,VS2,5,5
4605,1.01,62.8,59,6.43,6.34,4.01,Premium,G,SI1,4,6
4606,0.91,60.8,57,6.24,6.25,3.8,Very Good,F,VS2,3,5
4606,1.01,62.7,58,6.31,6.39,3.98,Very Good,D,SI2,1,7
4606,1.01,64.5,58,6.18,6.26,4.01,Good,D,SI2,1,7
4606,1.11,64.2,58,6.53,6.47,4.17,Good,H,SI1,5,6
4607,1.1,60.1,62,6.65,6.69,4.01,Very Good,E,SI2,2,7
4608,1.05,59.5,58,6.61,6.69,3.96,Very Good,H,SI1,5,6
4608,1.05,63.1,60,6.42,6.49,4.07,Good,H,SI1,5,6
4608,1.05,61.9,58,6.45,6.5,4.01,Premium,H,SI1,5,6
4608,1.05,61.8,57,6.51,6.57,4.04,Ideal,G,SI2,4,7
4608,1,58.1,64,6.56,6.6,3.82,Good,F,SI1,3,6
4608,1.01,64.7,57,6.22,6.29,4.05,Good,E,SI1,2,6
4609,1.07,60.5,61,6.55,6.61,3.98,Very Good,E,SI2,2,7
4609,0.91,60,57,6.29,6.31,3.83,Ideal,I,VVS1,6,2
4610,1.01,63.7,56,6.34,6.33,4.08,Good,H,SI1,5,6
4611,1.13,62,58,6.64,6.69,4.13,Premium,I,VS2,6,5
4611,0.93,63.1,57,6.17,6.19,3.9,Good,E,SI1,2,6
4611,0.91,63.6,57,6.13,6.1,3.89,Good,E,SI1,2,6
4611,1.03,61.6,54,6.51,6.55,4.02,Ideal,H,SI2,5,7
4611,1.09,60.7,58,6.64,6.68,4.04,Ideal,J,SI1,7,6
4611,1.2,61.8,59,6.84,6.76,4.2,Premium,J,VS2,7,5
4612,1.16,65.9,55,6.54,6.51,4.3,Fair,G,SI1,4,6
4612,0.9,62.2,60,6.14,6.08,3.8,Premium,D,SI1,1,6
4612,1.01,60.2,59,6.49,6.54,3.92,Ideal,I,SI1,6,6
4612,0.9,62.2,58,6.18,6.11,3.82,Premium,D,SI1,1,6
4612,0.9,62.8,59,6.18,6.14,3.87,Premium,D,SI1,1,6
4612,1.05,63.1,58,6.47,6.42,4.07,Very Good,I,VS2,6,5
4612,1.22,63.8,57,6.77,6.72,4.3,Good,J,SI1,7,6
4612,0.9,62.7,56,6.18,6.16,3.87,Ideal,D,SI1,1,6
4612,0.9,62.4,61,6.17,6.13,3.84,Premium,D,SI1,1,6
4612,1.11,58.9,60,6.8,6.74,3.99,Premium,F,SI2,3,7
4612,1.22,61.8,57,6.9,6.83,4.23,Ideal,I,SI2,6,7
4613,1.07,62.4,57,6.52,6.55,4.08,Ideal,E,SI2,2,7
4613,1.04,62,57,6.5,6.47,4.02,Ideal,E,SI1,2,6
4615,1.14,63.3,57,6.6,6.63,4.19,Very Good,H,SI2,5,7
4616,1.01,62.9,59,6.32,6.27,3.96,Premium,F,SI2,3,7
4616,1.01,59.4,60,6.49,6.54,3.87,Good,H,SI1,5,6
4616,1.01,61.7,60,6.42,6.36,3.94,Premium,F,SI2,3,7
4617,0.9,61.6,63,6.13,6.17,3.79,Very Good,F,VS2,3,5
4617,0.9,62.2,57,6.17,6.24,3.86,Very Good,F,VS2,3,5
4617,0.9,64.3,57,6.07,6.09,3.91,Good,F,VS2,3,5
4617,0.9,61.8,60,6.11,6.15,3.79,Very Good,H,VVS2,5,3
4617,1.02,63,58,6.34,6.4,4.01,Very Good,H,SI1,5,6
4617,1.01,60.2,60,6.5,6.48,3.91,Very Good,H,SI1,5,6
4617,1.01,61.3,56,6.46,6.5,3.97,Ideal,J,VS2,7,5
4617,1.01,61.1,56,6.49,6.51,3.97,Ideal,J,VS2,7,5
4617,0.83,61.2,54,6.07,6.11,3.73,Ideal,F,VS1,3,4
4617,1.17,62.1,57,6.74,6.81,4.21,Ideal,J,SI1,7,6
4618,1.05,63,57,6.47,6.41,4.06,Premium,G,SI2,4,7
4619,1.01,63,58,6.31,6.39,4,Very Good,F,SI1,3,6
4619,1.01,62.4,59,6.3,6.42,3.97,Good,F,SI1,3,6
4619,1.01,61.9,57,6.37,6.42,3.96,Very Good,F,SI1,3,6
4619,1.01,63.2,59,6.25,6.28,3.96,Good,E,SI1,2,6
4619,1.01,58.5,56,6.6,6.69,3.89,Very Good,H,SI1,5,6
4619,0.8,62.4,56,5.94,5.98,3.72,Ideal,D,VS1,1,4
4619,1.13,61.1,59,6.73,6.65,4.09,Premium,H,SI2,5,7
4619,1.17,62.1,56,6.8,6.75,4.21,Ideal,J,VS2,7,5
4620,1,61.1,58,6.44,6.48,3.95,Premium,E,SI2,2,7
4620,1.5,62.6,63,7.19,7.25,4.52,Good,I,I1,6,8
4620,1,63.3,56,6.35,6.38,4.03,Good,D,SI2,1,7
4620,1,63.5,56,6.31,6.38,4.03,Good,E,SI2,2,7
4620,1,61.4,61,6.36,6.41,3.92,Very Good,E,SI2,2,7
4620,1.12,61.9,58,6.66,6.74,4.15,Premium,H,SI2,5,7
4620,1,60.3,61,6.38,6.43,3.86,Very Good,F,SI1,3,6
4620,1,62.4,57,6.33,6.4,3.97,Very Good,E,SI2,2,7
4620,1,61.7,58,6.34,6.39,3.93,Premium,E,SI2,2,7
4620,1,61.2,60,6.42,6.45,3.94,Premium,E,SI2,2,7
4620,1.26,59.6,57,7.01,7.04,4.19,Ideal,I,SI2,6,7
4620,1.1,62,59,6.59,6.54,4.07,Premium,I,SI1,6,6
4620,1,63.5,56,6.33,6.3,4.01,Very Good,I,VS2,6,5
4620,1.1,62,55,6.62,6.6,4.1,Ideal,H,SI2,5,7
4620,1.1,62.2,58,6.69,6.6,4.13,Premium,H,SI2,5,7
4620,1.1,62.6,56,6.65,6.57,4.14,Ideal,H,SI2,5,7
4621,0.92,62.2,55,6.19,6.26,3.87,Very Good,F,SI1,3,6
4622,1.01,62.6,61,6.36,6.39,3.99,Very Good,H,SI1,5,6
4622,1.06,60.6,55,6.62,6.65,4.02,Ideal,H,SI2,5,7
4622,1.1,60.9,60,6.66,6.61,4.04,Premium,E,SI2,2,7
4623,1,62,57,6.37,6.41,3.96,Ideal,E,SI2,2,7
4623,0.91,61.9,55,6.18,6.22,3.84,Ideal,E,SI1,2,6
4623,0.98,59.9,60,6.45,6.38,3.84,Premium,H,VS2,5,5
4624,1.12,61.8,58,6.62,6.68,4.11,Very Good,H,SI2,5,7
4624,1.1,60.1,57,6.77,6.74,4.06,Ideal,J,SI2,7,7
4624,1.1,62.6,55,6.57,6.6,4.13,Ideal,I,SI2,6,7
4624,1,59.6,61,6.48,6.53,3.88,Good,I,VS1,6,4
4625,0.9,63,58,6.16,6.13,3.87,Premium,E,VS2,2,5
4626,1.01,61.9,61,6.36,6.41,3.95,Very Good,I,VS2,6,5
4626,1,62.2,61,6.36,6.3,3.94,Premium,D,SI2,1,7
4626,1,63.3,60,6.33,6.24,3.98,Very Good,G,SI1,4,6
4626,1,58.3,61,6.59,6.54,3.83,Premium,D,SI2,1,7
4626,1,59.4,60,6.56,6.48,3.87,Premium,D,SI2,1,7
4626,1,61.6,58,6.45,6.37,3.95,Premium,D,SI2,1,7
4626,1,59.5,62,6.52,6.49,3.87,Premium,D,SI2,1,7
4627,1.35,66,58,6.89,6.81,4.52,Fair,G,SI2,4,7
4627,1.08,62.2,56,6.62,6.54,4.09,Premium,G,SI2,4,7
4627,1.08,62.3,56,6.6,6.52,4.09,Premium,G,SI2,4,7
4627,1.08,62.9,59,6.57,6.53,4.12,Premium,G,SI2,4,7
